"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"CIAPIN1"	0.00950749013652961	0.0943288468804065	0.493	0.31	1	"CIAPIN1"
"STARD3"	0.00955474275254025	0.147020020458417	0.547	0.348	1	"STARD3"
"SNX13"	0.00966612935648287	0.178278434461227	0.72	0.626	1	"SNX13"
"SEMA3E"	0.00981798473590839	0.121601500067253	0.747	0.561	1	"SEMA3E"
"CEP72"	0.00985725953680732	-0.253600646825475	0.307	0.445	1	"CEP72"
"CARNMT1"	0.00991882065370673	0.150065825857648	0.8	0.677	1	"CARNMT1"
"ZNF716"	0.00999130025452167	0.056839132598319	0.12	0.032	1	"ZNF716"
"ZNF557"	0.0100275201495344	-0.193877579469151	0.373	0.516	1	"ZNF557"
"PLAA"	0.0100546020078506	0.228146774858449	0.613	0.484	1	"PLAA"
"EHMT1"	0.010170425608499	-0.269119836025988	0.787	0.858	1	"EHMT1"
"LINC00176"	0.0101846077993379	0.113452910468958	0.227	0.103	1	"LINC00176"
"SYT16"	0.010220554105047	-0.275463457651721	0.613	0.761	1	"SYT16"
"DTL"	0.0102237408703076	0.243614956445311	0.88	0.742	1	"DTL"
"CSPG5"	0.0102863162412564	-0.128935571806504	0.133	0.29	1	"CSPG5"
"SOX5"	0.0103486368799751	0.0665117253600287	0.707	0.561	1	"SOX5"
"SIRT6"	0.0104428483177992	-0.15608912237163	0.147	0.303	1	"SIRT6"
"CEP78"	0.0104492018222232	0.211803210680071	0.6	0.419	1	"CEP78"
"HECTD2"	0.0104655389712358	0.185132623417802	0.68	0.477	1	"HECTD2"
"DRD2"	0.0104993753081132	0.133824001782857	0.4	0.232	1	"DRD2"
"SLC28A2"	0.0105996602212587	0.108100893721177	0.227	0.103	1	"SLC28A2"
"XKR7"	0.0107022446253302	0.151268810133092	0.427	0.252	1	"XKR7"
"NPAS2"	0.0107825345706948	0.192421396637453	0.587	0.413	1	"NPAS2"
"SCIN"	0.0108689843457892	0.229607960845293	0.76	0.619	1	"SCIN"
"MTERF3"	0.0108779116742431	-0.213299060900507	0.413	0.561	1	"MTERF3"
"CACNA1A"	0.0109419558459272	0.1920161548894	0.773	0.632	1	"CACNA1A"
"SH3GLB2"	0.0109867056501037	0.144728944684913	0.44	0.252	1	"SH3GLB2"
"KIAA2012.1"	0.0110171421227763	-0.230185259892948	0.52	0.652	1	"KIAA2012.1"
"ZNF799"	0.0110582223064905	0.146772766521367	0.347	0.2	1	"ZNF799"
"PKD2L1"	0.0111939002924435	-0.134060552224767	0.187	0.342	1	"PKD2L1"
"MFAP1"	0.0111943713419472	0.103614350051717	0.52	0.329	1	"MFAP1"
"PSTPIP1"	0.0112349452377549	-0.256611999410775	0.467	0.613	1	"PSTPIP1"
"WDR90"	0.0112421761066741	0.150035048094395	0.44	0.271	1	"WDR90"
"VLDLR"	0.0112465944240885	0.139085399228471	0.507	0.329	1	"VLDLR"
"UBE3A"	0.0113066742406017	0.270709294256984	0.773	0.665	1	"UBE3A"
"DSEL"	0.011354590640055	0.130386416001214	0.587	0.374	1	"DSEL"
"FAM222B"	0.0113796613413133	0.294228936688284	0.827	0.69	1	"FAM222B"
"FES"	0.0113819234911789	0.128059178529489	0.44	0.265	1	"FES"
"SUN5"	0.0114106359840497	0.144828108219499	0.253	0.123	1	"SUN5"
"RP1"	0.0114389727207859	0.206999046914421	0.787	0.697	1	"RP1"
"CFHR5"	0.0115449809612725	0.114099131373202	0.173	0.065	1	"CFHR5"
"GPNMB"	0.0116457245462135	0.175249961200485	0.56	0.381	1	"GPNMB"
"HSCB"	0.0116689259655455	0.201138627960491	0.627	0.465	1	"HSCB"
"MBD3"	0.01180672428032	0.148894403331693	0.4	0.226	1	"MBD3"
"MVK"	0.011852154487453	-0.221087461059918	0.533	0.639	1	"MVK"
"ZC3H12C"	0.0118786787578617	0.304789939364526	0.827	0.71	1	"ZC3H12C"
"MYO1A"	0.0119114704001017	-0.159784895861624	0.16	0.316	1	"MYO1A"
"NOL3"	0.0119114704001017	0.156039755014542	0.36	0.219	1	"NOL3"
"MDS2"	0.0119265674740232	-0.222429340539026	0.373	0.555	1	"MDS2"
"TSPAN31"	0.0119371615022301	-0.145685237268754	0.547	0.697	1	"TSPAN31"
"TRIM8"	0.0119948930458523	-0.265953890505599	0.653	0.729	1	"TRIM8"
"RSL24D1"	0.0120019194075894	0.167377946987949	0.587	0.432	1	"RSL24D1"
"CPB1"	0.0120033611453095	0.133505779513391	0.64	0.426	1	"CPB1"
"COL6A1"	0.0120725610182793	-0.118800351477038	0.093	0.239	1	"COL6A1"
"APOL3"	0.0121423344617884	-0.128526632382832	0.293	0.452	1	"APOL3"
"DACH1"	0.0121604720578074	0.225276610200625	0.947	0.929	1	"DACH1"
"TSC22D2"	0.0122000485323675	0.221835426127852	0.88	0.8	1	"TSC22D2"
"FAM53A"	0.0122363009546568	0.173440966028244	0.6	0.426	1	"FAM53A"
"NELFB"	0.0122843208943667	-0.125580316842432	0.16	0.316	1	"NELFB"
"CEBPA"	0.0123797916809746	0.145951481228568	0.333	0.187	1	"CEBPA"
