"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"HNRNPC"	0.0109129167414748	-0.248344090134747	0.769	0.862	1	"HNRNPC"
"CDK12"	0.0109216400793847	0.289042648524164	0.75	0.611	1	"CDK12"
"ZNF808"	0.0109355172274524	-0.173635768208305	0.288	0.483	1	"ZNF808"
"NDST2"	0.0109664639855194	-0.14907309698753	0.231	0.406	1	"NDST2"
"TMEM179B"	0.0109710595770724	-0.177989786171227	0.154	0.312	1	"TMEM179B"
"ARV1"	0.0109878613202864	0.194318885447493	0.635	0.505	1	"ARV1"
"APOL3"	0.0110976080767192	0.285006011793321	0.5	0.361	1	"APOL3"
"NPC1L1"	0.0111083171858344	0.191807035766267	0.327	0.206	1	"NPC1L1"
"TRIM13"	0.0113602213907086	-0.219105082719526	0.404	0.591	1	"TRIM13"
"LHFPL1"	0.0114050605430786	0.23411861717382	0.385	0.25	1	"LHFPL1"
"IQCG"	0.0114068006314542	-0.24223801693538	0.577	0.723	1	"IQCG"
"GBF1"	0.0114248378733604	0.207867450405756	0.885	0.759	1	"GBF1"
"ECT2L"	0.0114414168149667	-0.228964852497127	0.308	0.476	1	"ECT2L"
"MAP1LC3C"	0.0114534922211724	0.284151131544647	0.173	0.08	1	"MAP1LC3C"
"EAF2"	0.0114852118246872	-0.224927798692604	0.481	0.687	1	"EAF2"
"TP73"	0.0115825104555667	-0.20447106171679	0.288	0.457	1	"TP73"
"UBQLN2"	0.011790503569922	-0.175586754970916	0.096	0.248	1	"UBQLN2"
"LTBP4"	0.011821446888359	0.26148619784861	0.788	0.652	1	"LTBP4"
"NCAPD3"	0.0119462192596382	-0.210390020735464	0.423	0.632	1	"NCAPD3"
"CD151"	0.0119915889926421	-0.161630434745336	0.077	0.22	1	"CD151"
"KDM6A"	0.0121047248320355	-0.144591191281336	0.692	0.819	1	"KDM6A"
"FOS"	0.0121866131035046	-0.210337347997075	0.462	0.636	1	"FOS"
"MAATS1"	0.0122017532673166	0.253081416071691	0.5	0.357	1	"MAATS1"
"CAPN6"	0.0124483093014431	0.11591889617357	0.173	0.081	1	"CAPN6"
"HINT1"	0.0125033755941715	0.240710440076673	0.808	0.747	1	"HINT1"
"AHCY"	0.0125561262060412	0.21105040319097	0.635	0.519	1	"AHCY"
"DNAH9"	0.0125850634894603	0.233409701809657	0.692	0.504	1	"DNAH9"
"PTH2R"	0.0126039207872738	0.202577370091524	0.904	0.872	1	"PTH2R"
"CHD4"	0.0127075129024389	-0.249026105800931	0.327	0.505	1	"CHD4"
"FAM117A"	0.0128954076189801	-0.215252102660117	0.846	0.924	1	"FAM117A"
"OSBPL9"	0.0129734888900543	0.193933606796953	0.981	0.903	1	"OSBPL9"
"TNFRSF10D"	0.0129998540070189	-0.136033218835434	0.192	0.38	1	"TNFRSF10D"
"FBXO21"	0.013036812516416	-0.183553846859094	0.269	0.417	1	"FBXO21"
"SYNE2"	0.0130920170777677	0.622514097452792	0.923	0.808	1	"SYNE2"
"MRPS17"	0.0131400641500205	-0.147896361442905	0.115	0.268	1	"MRPS17"
"CLUH"	0.0131748062138684	-0.182683980353979	0.115	0.285	1	"CLUH"
"SOCS4"	0.0132214501506953	-0.208943641118466	0.269	0.449	1	"SOCS4"
"DNAJB6"	0.0132430607077928	0.173863468317026	0.962	0.914	1	"DNAJB6"
"MED13"	0.0132607382944032	-0.250128305697947	0.481	0.62	1	"MED13"
"TH"	0.0134183563859066	0.245024081530252	0.192	0.095	1	"TH"
"PHKA2"	0.0134617803104321	-0.219165872478612	0.365	0.529	1	"PHKA2"
"CD248"	0.013518651828841	-0.120571293795405	0.038	0.172	1	"CD248"
"VSX1"	0.0135208397678073	-0.141503599543598	0.058	0.195	1	"VSX1"
"CHRNA5"	0.0136932452642702	-0.162473865479076	0.115	0.272	1	"CHRNA5"
"PRG2"	0.0137013113679864	0.10842991216375	0.154	0.069	1	"PRG2"
"LSM4"	0.0137161219830994	0.155651956174456	0.615	0.459	1	"LSM4"
"OBSL1"	0.0137485340641799	-0.2235172693191	0.269	0.436	1	"OBSL1"
"AURKAIP1"	0.0138470587085701	-0.186862909001734	0.173	0.331	1	"AURKAIP1"
"ADAT1"	0.0138704479032533	0.25372428553401	0.635	0.563	1	"ADAT1"
"ZNF66"	0.0139066484225226	0.196231979049623	0.442	0.306	1	"ZNF66"
"KDM5A"	0.0140347193392396	-0.147367545082713	0.481	0.615	1	"KDM5A"
"KLHL32"	0.0141555627076477	0.247510401951481	0.808	0.683	1	"KLHL32"
"MLXIPL"	0.0141610096751697	-0.183129998607315	0.192	0.346	1	"MLXIPL"
"CHD1"	0.0141678253825821	0.211521692601	0.923	0.845	1	"CHD1"
"ZNF516"	0.0141873282791659	-0.268748716432983	0.846	0.899	1	"ZNF516"
"SLC4A5"	0.0141883383657908	-0.176432254267362	0.327	0.502	1	"SLC4A5"
"LYRM7"	0.0142283877962344	0.222656182615219	0.75	0.675	1	"LYRM7"
"GABRA5"	0.0142817321659417	0.165138579877017	0.385	0.242	1	"GABRA5"
"TTC12"	0.0143089344008857	0.317270443566682	0.596	0.475	1	"TTC12"
"EIF3M"	0.0144475003481126	-0.23041015585933	0.404	0.534	1	"EIF3M"
"FGFR4"	0.0144978148279551	-0.154182224947918	0.077	0.225	1	"FGFR4"
"ADCYAP1"	0.0145039371377679	-0.153214611865937	0.096	0.252	1	"ADCYAP1"
"RPL8"	0.0145039452240366	-0.157694931631019	0.115	0.268	1	"RPL8"
"CAMKK2"	0.0146316641544918	0.286865638153767	0.731	0.597	1	"CAMKK2"
"SAMD15"	0.0146938922900577	0.248488160103622	0.577	0.44	1	"SAMD15"
"MTG1"	0.0147480405865813	-0.127857436890102	0.154	0.333	1	"MTG1"
"ACVR2A"	0.0147523042294219	0.17604516089594	0.75	0.66	1	"ACVR2A"
"ADGRE5"	0.0148801703993621	-0.198669597909228	0.346	0.514	1	"ADGRE5"
"CDCA3"	0.0148934633141429	-0.201617744648821	0.654	0.742	1	"CDCA3"
"RAB33B"	0.0149974595521778	0.283212568644187	0.75	0.669	1	"RAB33B"
"C5"	0.0150282817275602	-0.160537870133724	0.154	0.332	1	"C5"
"UCP1"	0.0150357263490538	-0.120671895633629	0.019	0.133	1	"UCP1"
"VEGFA"	0.0151290942614525	-0.201341021243224	0.308	0.464	1	"VEGFA"
"TK1"	0.0151347178581848	-0.18996623098953	0.192	0.353	1	"TK1"
"NCK2"	0.015260823038291	0.268214810904578	0.962	0.86	1	"NCK2"
"WTAP"	0.015375730795826	0.237596990703659	0.769	0.666	1	"WTAP"
"TNKS2"	0.0154481622850414	-0.161078155715652	0.365	0.601	1	"TNKS2"
"RNASE13"	0.0154998922041025	0.0591849685215713	0.135	0.055	1	"RNASE13"
"CRIP1"	0.0155210552828148	0.116593093376412	0.327	0.2	1	"CRIP1"
"STX12"	0.0155263168154023	0.290080294501212	0.577	0.428	1	"STX12"
"EIF4EBP2"	0.0155445774420248	-0.160000106559144	0.269	0.473	1	"EIF4EBP2"
"MRPL3"	0.0156077591887391	-0.165548933730714	0.173	0.336	1	"MRPL3"
"ARFGEF3"	0.0156361392716806	0.12796914370349	0.673	0.513	1	"ARFGEF3"
"SKIDA1"	0.0157535104795809	0.262740278444195	0.75	0.705	1	"SKIDA1"
"EIF2A"	0.015868102424617	-0.226427712876401	0.615	0.712	1	"EIF2A"
"EFCAB1"	0.0160398698778667	0.124249939763182	0.327	0.197	1	"EFCAB1"
"CNDP1"	0.0162279836727761	0.169594489389572	0.5	0.367	1	"CNDP1"
"SFT2D1"	0.016228912189194	-0.189647072426041	0.404	0.589	1	"SFT2D1"
"LY96"	0.0162542280628667	-0.20757444410723	0.231	0.389	1	"LY96"
"PAK5"	0.0164988270186475	-0.155734461679805	0.385	0.562	1	"PAK5"
"HNRNPAB"	0.0165524260897842	-0.143779725329205	0.173	0.351	1	"HNRNPAB"
"RNF20"	0.0165812154754177	0.213749908530814	0.596	0.488	1	"RNF20"
"UBE2E3"	0.016601193059581	-0.220283947146902	0.712	0.782	1	"UBE2E3"
"CIB1"	0.0166063057592274	-0.210510765139765	0.269	0.442	1	"CIB1"
"CLEC9A"	0.0166844607428651	0.149277083348053	0.423	0.287	1	"CLEC9A"
"SIAH2"	0.01673101791882	-0.162744163470327	0.5	0.697	1	"SIAH2"
"TMPRSS11B"	0.0168249895654618	0.0555681896072073	0.115	0.045	1	"TMPRSS11B"
"DUSP18"	0.0168686039681366	0.185840659608925	0.327	0.215	1	"DUSP18"
"DLG5"	0.0169158452938144	-0.276772397090521	0.5	0.642	1	"DLG5"
"LRP5"	0.0169448350476679	0.174389153945128	0.788	0.663	1	"LRP5"
"SPINK2"	0.0170132370221325	-0.160279717019698	0.096	0.237	1	"SPINK2"
"MROH1"	0.017036417124053	-0.200236859581533	0.423	0.639	1	"MROH1"
"TM4SF19"	0.0171404136759965	-0.145024935646746	0.058	0.185	1	"TM4SF19"
"RECK"	0.0173303666087552	-0.159224194858302	0.346	0.52	1	"RECK"
"CFAP97"	0.0173507247468407	-0.174656970253823	0.462	0.643	1	"CFAP97"
"GTPBP8"	0.0173664737461326	-0.174362643033233	0.192	0.356	1	"GTPBP8"
"EPB41L3"	0.0174163256702567	0.199221071238028	0.846	0.724	1	"EPB41L3"
"CSTF2"	0.0174654595075521	-0.156522233851219	0.154	0.32	1	"CSTF2"
"C6orf226"	0.0174681850537031	-0.15694090132845	0.096	0.232	1	"C6orf226"
"DQX1"	0.0174844924358311	-0.068123474313648	0.096	0.243	1	"DQX1"
"TMEM138"	0.0175161499132653	-0.178484202590609	0.288	0.461	1	"TMEM138"
"TCP11L1"	0.017615065837695	-0.250367268291927	0.519	0.653	1	"TCP11L1"
"FUT9"	0.017644773284333	0.115781333903976	0.5	0.353	1	"FUT9"
"ZNF623"	0.017653723422395	-0.134713513830792	0.077	0.22	1	"ZNF623"
"CRHR1.1"	0.0177047158300638	0.284347632408224	0.423	0.31	1	"CRHR1.1"
"KCNH5"	0.0177665990320297	0.211784981805931	0.654	0.488	1	"KCNH5"
"SPIN3"	0.01785090546615	0.122469621552665	0.212	0.111	1	"SPIN3"
"EEF2K"	0.0178771326494626	-0.166727860598646	0.5	0.631	1	"EEF2K"
"MAPK8IP1"	0.0179472096262928	-0.17660261841884	0.192	0.377	1	"MAPK8IP1"
"SLC13A5"	0.0179899890385783	-0.134553611592612	0.038	0.158	1	"SLC13A5"
"OXR1"	0.0180868113963335	-0.271985112291844	0.827	0.877	1	"OXR1"
"BCL7C"	0.0182750265467794	-0.218053799279147	0.423	0.564	1	"BCL7C"
